Human milk	"Milk, human, mature, fluid"
"Beef, excludes ground"	"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, raw"
"Beef, excludes ground"	"Wheat flour, white, all-purpose, enriched, bleached"
"Beef, excludes ground"	"Shortening, vegetable, household, composite"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Water, tap, drinking"
"Beef, excludes ground"	"Egg, yolk, raw, fresh"
"Beef, excludes ground"	"Beef, chuck, blade roast, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, chuck, blade roast, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, round, top round steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw"
"Beef, excludes ground"	"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, raw"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, chuck, blade roast, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, rib, shortribs, separable lean only, choice, cooked, braised"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, rib, shortribs, separable lean and fat, choice, cooked, braised"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, rib, shortribs, separable lean only, choice, cooked, braised"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, rib, shortribs, separable lean and fat, choice, cooked, braised"
"Beef, excludes ground"	"Sauce, barbecue"
"Beef, excludes ground"	"Beef, rib, shortribs, separable lean and fat, choice, cooked, braised"
"Beef, excludes ground"	"Sauce, barbecue"
"Beef, excludes ground"	"Beef, rib, shortribs, separable lean only, choice, cooked, braised"
"Beef, excludes ground"	"Sauce, barbecue"
"Beef, excludes ground"	"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted"
"Beef, excludes ground"	"Beef, round, tip round, roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, all grades, raw"
"Beef, excludes ground"	"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, all grades, raw"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted"
"Beef, excludes ground"	"Beef, chuck, blade roast, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, chuck, blade roast, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, chuck, blade roast, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, chuck, blade roast, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"
"Beef, excludes ground"	"Salt, table"
Cold cuts and cured meats	"Beef, cured, corned beef, brisket, cooked"
Cold cuts and cured meats	"Beef, cured, corned beef, brisket, cooked"
Cold cuts and cured meats	"Beef, cured, corned beef, canned"
Cold cuts and cured meats	"Beef, cured, corned beef, canned"
"Beef, excludes ground"	"Beef, brisket, whole, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, brisket, whole, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, brisket, whole, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"
"Beef, excludes ground"	"Salt, table"
"Beef, excludes ground"	"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted"
"Beef, excludes ground"	"Fat, beef tallow"
"Beef, excludes ground"	"Water, tap, drinking"
Ground beef	"Beef, ground, 85% lean meat / 15% fat, raw"
Ground beef	"Beef, ground, 80% lean meat / 20% fat, raw"
Ground beef	"Beef, ground, 75% lean meat / 25% fat, raw"
Ground beef	"Beef, ground, 90% lean meat / 10% fat, raw"
Ground beef	"Beef, ground, 95% lean meat / 5% fat, raw"
Ground beef	"Beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled"
Ground beef	"Beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled"
Ground beef	"Beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled"
Ground beef	"Beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled"
Ground beef	"Salt, table"
Ground beef	"Beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled"
Ground beef	"Beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled"
Ground beef	"Salt, table"
Bacon	"Beef, cured, breakfast strips, cooked"
Bacon	"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium"
Cold cuts and cured meats	"Beef, cured, dried"
Cold cuts and cured meats	"Beef, cured, dried"
Cold cuts and cured meats	Lard
Cold cuts and cured meats	"Snacks, beef jerky, chopped and formed"
Baby food: meat and dinners	"Babyfood, meat, beef, strained"
Baby food: meat and dinners	"Babyfood, meat, beef, junior"
Baby food: meat and dinners	"Babyfood, meat, beef, strained"
Baby food: meat and dinners	"Babyfood, meat, beef, junior"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Egg, whole, raw, fresh"
Pork	"Bread crumbs, dry, grated, plain"
Pork	"Salt, table"
Pork	"Vegetable oil, NFS"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Egg, whole, raw, fresh"
Pork	"Bread crumbs, dry, grated, plain"
Pork	"Salt, table"
Pork	"Vegetable oil, NFS"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Egg, whole, raw, fresh"
Pork	"Bread crumbs, dry, grated, plain"
Pork	"Salt, table"
Pork	"Vegetable oil, NFS"
Pork	"Pork, cured, feet, pickled"
Pork	"Pork, fresh, ground, cooked"
Pork	"Salt, table"
Pork	"Pork, fresh, ground, cooked"
Pork	"Bread crumbs, dry, grated, plain"
Pork	"Vegetable oil, NFS"
Pork	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
Pork	"Salt, table"
Cold cuts and cured meats	"Snacks, beef jerky, chopped and formed"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Bread crumbs, dry, grated, seasoned"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Bread crumbs, dry, grated, seasoned"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Bread crumbs, dry, grated, seasoned"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Egg, whole, raw, fresh"
Pork	"Bread crumbs, dry, grated, plain"
Pork	"Salt, table"
Pork	"Vegetable oil, NFS"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Egg, whole, raw, fresh"
Pork	"Bread crumbs, dry, grated, plain"
Pork	"Salt, table"
Pork	"Vegetable oil, NFS"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Egg, whole, raw, fresh"
Pork	"Bread crumbs, dry, grated, plain"
Pork	"Salt, table"
Pork	"Vegetable oil, NFS"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Shortening, vegetable, household, composite"
Pork	"Wheat flour, white, all-purpose, enriched, bleached"
Pork	"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)"
Pork	"Egg, whole, raw, fresh"
Pork	"Sugars, granulated"
Pork	"Leavening agents, baking powder, double-acting, sodium aluminum sulfate"
Pork	"Salt, table"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Shortening, vegetable, household, composite"
Pork	"Wheat flour, white, all-purpose, enriched, bleached"
Pork	"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)"
Pork	"Egg, whole, raw, fresh"
Pork	"Sugars, granulated"
Pork	"Leavening agents, baking powder, double-acting, sodium aluminum sulfate"
Pork	"Salt, table"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Shortening, vegetable, household, composite"
Pork	"Wheat flour, white, all-purpose, enriched, bleached"
Pork	"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)"
Pork	"Egg, whole, raw, fresh"
Pork	"Sugars, granulated"
Pork	"Leavening agents, baking powder, double-acting, sodium aluminum sulfate"
Pork	"Salt, table"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean only, raw"
Pork	"Salt, table"
Cold cuts and cured meats	"Pork, cured, shoulder, arm picnic, separable lean and fat, roasted"
Cold cuts and cured meats	"Pork, cured, shoulder, arm picnic, separable lean and fat, roasted"
Cold cuts and cured meats	"Pork, cured, shoulder, arm picnic, separable lean only, roasted"
Pork	"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw"
Pork	"Pork, fresh, enhanced, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw"
Pork	"Pork, fresh, enhanced, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw"
Pork	"Salt, table"
Pork	"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, raw"
